Year,Total,Organic,Referral
2005,0.087,0.033,0.054000000000000006
2006,0.083,0.035,0.048
2007,0.086,0.037000000000000005,0.049
2008,0.08900000000000001,0.036000000000000004,0.053
2009,0.084,0.034,0.05
2010,0.086,0.031,0.055
2011,0.075,0.032,0.043
2012,0.07200000000000001,0.035,0.037000000000000005
2013,0.069,0.032,0.037000000000000005
2014,0.07400000000000001,0.038,0.036000000000000004
2015,0.066,0.035,0.031
2016,0.08,0.045,0.035
2017,0.073,0.040999999999999995,0.032
2018,0.07,0.042,0.027999999999999997
2019,0.063,0.038,0.025
