team,league,rank,value,revenue
Real Madrid,La Liga,1,6070,807
Manchester United,Premier League,2,6000,779
Barcelona,La Liga,3,5510,721
Liverpool,Premier League,4,5290,793
Manchester City,Premier League,5,4990,815
Bayern Munich,Bundesliga,6,4860,739
Paris Saint-Germain,Ligue 1,7,4210,739
Chelsea,Premier League,8,3100,642
Tottenham Hotspur,Premier League,9,2800,591
Arsenal,Premier League,10,2260,490
Juventus,Serie A,11,2160,453
Borussia Dortmund,Bundesliga,12,1930,403
Atletico de Madrid,La Liga,13,1540,445
AC Milan,Serie A,14,1400,299
West Ham United,Premier League,15,1080,340
Inter Milan,Serie A,16,1030,348
LAFC,MLS,17,1000,116
LA Galaxy,MLS,18,925,98
Atlanta United FC,MLS,19,850,81
Crystal Palace,Premier League,20,806,214
New York City FC,MLS,21,800,55
Newcastle United,Premier League,22,794,240
Leicester City,Premier League,23,781,285
Aston Villa,Premier League,24,756,238
Everton,Premier League,25,744,242
Olympique Lyonnais,Ligue 1,26,734,182
AS Roma,Serie A,27,724,216
D.C. United,MLS,28,700,70
Toronto FC,MLS,29,690,62
Austin FC,MLS,30,680,84
